method,anomaly_type,mean_auc,ci_low,ci_high,mean_precision_at_4
composition,clustered_substitution,1.0,1.0,1.0,1.0
composition,foreign_segment,1.0,1.0,1.0,1.0
composition,triplet_order_shuffle,0.4948563664596273,0.45408093944099376,0.5325116459627328,0.04891304347826087
compression,clustered_substitution,1.0,1.0,1.0,1.0
compression,foreign_segment,1.0,1.0,1.0,1.0
compression,triplet_order_shuffle,1.0,1.0,1.0,1.0
pitch_order,clustered_substitution,1.0,1.0,1.0,1.0
pitch_order,foreign_segment,1.0,1.0,1.0,1.0
pitch_order,triplet_order_shuffle,1.0,1.0,1.0,1.0
sixmer,clustered_substitution,1.0,1.0,1.0,1.0
sixmer,foreign_segment,1.0,1.0,1.0,1.0
sixmer,triplet_order_shuffle,1.0,1.0,1.0,1.0
triplet_distribution,clustered_substitution,1.0,1.0,1.0,1.0
triplet_distribution,foreign_segment,1.0,1.0,1.0,1.0
triplet_distribution,triplet_order_shuffle,0.4953416149068324,0.4571040372670808,0.5348529697204969,0.04891304347826087
triplet_transition,clustered_substitution,1.0,1.0,1.0,1.0
triplet_transition,foreign_segment,1.0,1.0,1.0,1.0
triplet_transition,triplet_order_shuffle,1.0,1.0,1.0,1.0
