accession,host_group,anomaly_type,method,auc,precision_at_4,anomaly_indices,donor_group,donor_accession,donor_window_indices
GCF_021459925.1,grapevine,clustered_substitution,composition,1.0,1.0,13;16;22;29,,,
GCF_021459925.1,grapevine,clustered_substitution,triplet_distribution,1.0,1.0,13;16;22;29,,,
GCF_021459925.1,grapevine,clustered_substitution,pitch_order,1.0,1.0,13;16;22;29,,,
GCF_021459925.1,grapevine,clustered_substitution,triplet_transition,1.0,1.0,13;16;22;29,,,
GCF_021459925.1,grapevine,clustered_substitution,sixmer,1.0,1.0,13;16;22;29,,,
GCF_021459925.1,grapevine,clustered_substitution,compression,1.0,1.0,13;16;22;29,,,
GCF_021459925.1,grapevine,triplet_order_shuffle,composition,0.5,0.0,13;16;22;29,,,
GCF_021459925.1,grapevine,triplet_order_shuffle,triplet_distribution,0.5,0.0,13;16;22;29,,,
GCF_021459925.1,grapevine,triplet_order_shuffle,pitch_order,1.0,1.0,13;16;22;29,,,
GCF_021459925.1,grapevine,triplet_order_shuffle,triplet_transition,1.0,1.0,13;16;22;29,,,
GCF_021459925.1,grapevine,triplet_order_shuffle,sixmer,1.0,1.0,13;16;22;29,,,
GCF_021459925.1,grapevine,triplet_order_shuffle,compression,1.0,1.0,13;16;22;29,,,
GCF_021459925.1,grapevine,foreign_segment,composition,1.0,1.0,13;16;22;29,coffee,GCF_053901285.1,13:25;16:49;22:51;29:4
GCF_021459925.1,grapevine,foreign_segment,triplet_distribution,1.0,1.0,13;16;22;29,coffee,GCF_053901285.1,13:25;16:49;22:51;29:4
GCF_021459925.1,grapevine,foreign_segment,pitch_order,1.0,1.0,13;16;22;29,coffee,GCF_053901285.1,13:25;16:49;22:51;29:4
GCF_021459925.1,grapevine,foreign_segment,triplet_transition,1.0,1.0,13;16;22;29,coffee,GCF_053901285.1,13:25;16:49;22:51;29:4
GCF_021459925.1,grapevine,foreign_segment,sixmer,1.0,1.0,13;16;22;29,coffee,GCF_053901285.1,13:25;16:49;22:51;29:4
GCF_021459925.1,grapevine,foreign_segment,compression,1.0,1.0,13;16;22;29,coffee,GCF_053901285.1,13:25;16:49;22:51;29:4
GCF_028227635.1,grapevine,clustered_substitution,composition,1.0,1.0,9;12;36;39,,,
GCF_028227635.1,grapevine,clustered_substitution,triplet_distribution,1.0,1.0,9;12;36;39,,,
GCF_028227635.1,grapevine,clustered_substitution,pitch_order,1.0,1.0,9;12;36;39,,,
GCF_028227635.1,grapevine,clustered_substitution,triplet_transition,1.0,1.0,9;12;36;39,,,
GCF_028227635.1,grapevine,clustered_substitution,sixmer,1.0,1.0,9;12;36;39,,,
