accession,host_group,anomaly_type,feature_kind,auc,precision_at_k,anomaly_windows,total_windows
GCF_021459925.1,grapevine,clustered_substitution,composition,1.0,1.0,4,60
GCF_021459925.1,grapevine,clustered_substitution,codon64,0.9285714285714286,0.5,4,60
GCF_021459925.1,grapevine,clustered_substitution,amino_class,0.9508928571428571,0.5,4,60
GCF_021459925.1,grapevine,codon_order_shuffle,composition,0.7276785714285714,0.25,4,60
GCF_021459925.1,grapevine,codon_order_shuffle,codon64,0.9910714285714286,0.75,4,60
GCF_021459925.1,grapevine,codon_order_shuffle,amino_class,0.9732142857142857,0.5,4,60
GCF_021459925.1,grapevine,foreign_segment,composition,1.0,1.0,4,60
GCF_021459925.1,grapevine,foreign_segment,codon64,0.9910714285714286,0.75,4,60
GCF_021459925.1,grapevine,foreign_segment,amino_class,0.9732142857142857,0.75,4,60
GCF_028227635.1,grapevine,clustered_substitution,composition,1.0,1.0,4,60
GCF_028227635.1,grapevine,clustered_substitution,codon64,0.8214285714285714,0.0,4,60
GCF_028227635.1,grapevine,clustered_substitution,amino_class,0.9017857142857143,0.75,4,60
GCF_028227635.1,grapevine,codon_order_shuffle,composition,0.4642857142857143,0.0,4,60
GCF_028227635.1,grapevine,codon_order_shuffle,codon64,0.9241071428571429,0.25,4,60
GCF_028227635.1,grapevine,codon_order_shuffle,amino_class,1.0,1.0,4,60
GCF_028227635.1,grapevine,foreign_segment,composition,1.0,1.0,4,60
GCF_028227635.1,grapevine,foreign_segment,codon64,1.0,1.0,4,60
GCF_028227635.1,grapevine,foreign_segment,amino_class,1.0,1.0,4,60
GCF_014249995.1,grapevine,clustered_substitution,composition,1.0,1.0,4,60
GCF_014249995.1,grapevine,clustered_substitution,codon64,0.9642857142857143,0.5,4,60
GCF_014249995.1,grapevine,clustered_substitution,amino_class,0.9330357142857143,0.5,4,60
GCF_014249995.1,grapevine,codon_order_shuffle,composition,0.7589285714285714,0.0,4,60
GCF_014249995.1,grapevine,codon_order_shuffle,codon64,1.0,1.0,4,60
GCF_014249995.1,grapevine,codon_order_shuffle,amino_class,0.8348214285714286,0.5,4,60
GCF_014249995.1,grapevine,foreign_segment,composition,1.0,1.0,4,60
GCF_014249995.1,grapevine,foreign_segment,codon64,1.0,1.0,4,60
GCF_014249995.1,grapevine,foreign_segment,amino_class,0.9821428571428571,0.75,4,60
GCF_028227275.1,grapevine,clustered_substitution,composition,1.0,1.0,4,60
GCF_028227275.1,grapevine,clustered_substitution,codon64,0.9955357142857143,0.75,4,60
GCF_028227275.1,grapevine,clustered_substitution,amino_class,0.9017857142857143,0.25,4,60
GCF_028227275.1,grapevine,codon_order_shuffle,composition,0.30357142857142855,0.0,4,60
GCF_028227275.1,grapevine,codon_order_shuffle,codon64,1.0,1.0,4,60
GCF_028227275.1,grapevine,codon_order_shuffle,amino_class,0.9821428571428571,0.75,4,60
GCF_028227275.1,grapevine,foreign_segment,composition,1.0,1.0,4,60
GCF_028227275.1,grapevine,foreign_segment,codon64,1.0,1.0,4,60
GCF_028227275.1,grapevine,foreign_segment,amino_class,0.9821428571428571,0.75,4,60
GCF_055766035.1,grapevine,clustered_substitution,composition,1.0,1.0,4,60
GCF_055766035.1,grapevine,clustered_substitution,codon64,0.9598214285714286,0.25,4,60
GCF_055766035.1,grapevine,clustered_substitution,amino_class,0.9955357142857143,0.75,4,60
GCF_055766035.1,grapevine,codon_order_shuffle,composition,0.48214285714285715,0.0,4,60
GCF_055766035.1,grapevine,codon_order_shuffle,codon64,0.96875,0.5,4,60
GCF_055766035.1,grapevine,codon_order_shuffle,amino_class,0.9285714285714286,0.75,4,60
GCF_055766035.1,grapevine,foreign_segment,composition,1.0,1.0,4,60
GCF_055766035.1,grapevine,foreign_segment,codon64,0.9866071428571429,0.75,4,60
GCF_055766035.1,grapevine,foreign_segment,amino_class,0.9821428571428571,0.75,4,60
GCF_011801475.1,grapevine,clustered_substitution,composition,1.0,1.0,4,60
GCF_011801475.1,grapevine,clustered_substitution,codon64,0.9196428571428571,0.75,4,60
GCF_011801475.1,grapevine,clustered_substitution,amino_class,1.0,1.0,4,60
GCF_011801475.1,grapevine,codon_order_shuffle,composition,0.4017857142857143,0.0,4,60
GCF_011801475.1,grapevine,codon_order_shuffle,codon64,0.9598214285714286,0.25,4,60
GCF_011801475.1,grapevine,codon_order_shuffle,amino_class,0.9598214285714286,0.75,4,60
GCF_011801475.1,grapevine,foreign_segment,composition,1.0,1.0,4,60
GCF_011801475.1,grapevine,foreign_segment,codon64,1.0,1.0,4,60
GCF_011801475.1,grapevine,foreign_segment,amino_class,0.9821428571428571,0.75,4,60
GCF_004016315.2,grapevine,clustered_substitution,composition,1.0,1.0,4,60
GCF_004016315.2,grapevine,clustered_substitution,codon64,0.96875,0.5,4,60
GCF_004016315.2,grapevine,clustered_substitution,amino_class,0.8973214285714286,0.25,4,60
GCF_004016315.2,grapevine,codon_order_shuffle,composition,0.38392857142857145,0.0,4,60
GCF_004016315.2,grapevine,codon_order_shuffle,codon64,0.9910714285714286,0.75,4,60
GCF_004016315.2,grapevine,codon_order_shuffle,amino_class,0.9910714285714286,0.75,4,60
GCF_004016315.2,grapevine,foreign_segment,composition,1.0,1.0,4,60
GCF_004016315.2,grapevine,foreign_segment,codon64,1.0,1.0,4,60
GCF_004016315.2,grapevine,foreign_segment,amino_class,0.9821428571428571,0.75,4,60
GCF_055766025.1,grapevine,clustered_substitution,composition,1.0,1.0,4,60
GCF_055766025.1,grapevine,clustered_substitution,codon64,0.9285714285714286,0.5,4,60
GCF_055766025.1,grapevine,clustered_substitution,amino_class,0.9330357142857143,0.5,4,60
GCF_055766025.1,grapevine,codon_order_shuffle,composition,0.31919642857142855,0.0,4,60
GCF_055766025.1,grapevine,codon_order_shuffle,codon64,0.9821428571428571,0.5,4,60
GCF_055766025.1,grapevine,codon_order_shuffle,amino_class,0.9732142857142857,0.75,4,60
GCF_055766025.1,grapevine,foreign_segment,composition,1.0,1.0,4,60
GCF_055766025.1,grapevine,foreign_segment,codon64,1.0,1.0,4,60
GCF_055766025.1,grapevine,foreign_segment,amino_class,1.0,1.0,4,60
GCF_028891345.1,grapevine,clustered_substitution,composition,1.0,1.0,4,60
GCF_028891345.1,grapevine,clustered_substitution,codon64,0.9285714285714286,0.0,4,60
GCF_028891345.1,grapevine,clustered_substitution,amino_class,0.9776785714285714,0.75,4,60
GCF_028891345.1,grapevine,codon_order_shuffle,composition,0.5424107142857143,0.0,4,60
GCF_028891345.1,grapevine,codon_order_shuffle,codon64,0.9776785714285714,0.75,4,60
