accession,contigs,ambiguous_bases,valid_segments,valid_bases,windows_used
GCF_021459925.1,1,0,1,2543277,60
GCF_028227635.1,1,0,1,2515619,60
GCF_014249995.1,1,0,1,2514993,60
GCF_028227275.1,1,0,1,2514513,60
GCF_055766035.1,1,0,1,2512899,60
GCF_011801475.1,2,0,2,2607257,60
GCF_004016315.2,2,0,2,2600843,60
GCF_028891345.1,2,0,2,2600197,60
GCF_053901445.1,2,0,2,2593391,60
GCF_042239055.1,1,0,1,2769601,60
GCF_042239545.1,1,0,1,2682254,60
GCF_029962045.1,1,0,1,2661210,60
GCF_055959565.1,1,0,1,2619904,60
GCF_055959275.1,1,0,1,2608764,60
GCF_055959555.1,1,0,1,2594979,60
GCF_029962025.1,1,0,1,2579484,60
GCF_004023395.2,1,0,1,2559157,60
GCF_055764455.1,2,0,2,2667345,60
GCF_050157125.1,2,0,2,2588276,60
GCF_042238405.1,1,0,1,2708059,60
GCF_012974125.1,1,0,1,2678425,60
GCF_012974145.1,1,0,1,2669650,60
GCF_029962065.1,1,0,1,2649239,60
GCF_012974105.1,1,0,1,2526544,60
GCF_021474225.1,2,0,2,2786612,60
GCF_002117875.1,2,0,2,2543738,60
GCF_002954205.1,2,0,2,2543566,60
GCF_042237735.1,1,100,2,2790548,60
GCF_042237065.1,1,100,2,2809570,60
GCF_004016415.2,1,0,1,2766210,60
GCF_001456195.2,1,26,23,2748566,60
GCF_048564955.1,1,0,1,2614665,60
GCF_032594475.1,2,0,2,2676633,60
GCF_032594455.1,2,0,2,2676561,60
GCF_041053125.1,3,864,746,2895448,60
GCF_028226975.1,4,0,4,2741778,60
GCF_053901285.1,5,0,5,2703090,60
GCF_001469345.1,278,109,321,2496553,60
GCF_042241145.1,1,0,1,2548622,60
GCF_053901235.1,1,0,1,2439535,60
GCF_001456295.2,2,10,8,2705810,60
GCF_003515915.2,2,0,2,2576214,60
GCF_015475955.1,2,0,2,2538293,60
GCF_055690575.1,3,0,3,2693813,60
GCF_042243345.1,4,0,4,2867959,60
GCF_028640715.1,278,40,286,2557448,60
