accession,assembly_name,strain,host_or_source,geo_loc_name,release_date,sequence_length,gc_percent_ncbi,fasta,ncbi_ftp_url
GCF_011801475.1,ASM1180147v1,ATCC 35879,Grapevine,USA: Florida,2020-03-31,2607257,52,data\fastas\GCF_011801475.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/801/475/GCF_011801475.1_ASM1180147v1/GCF_011801475.1_ASM1180147v1_genomic.fna.gz
GCF_028891345.1,ASM2889134v1,ICMP 15197,Vitis vinifera,USA: Florida,2023-03-01,2600197,52,data\fastas\GCF_028891345.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/891/345/GCF_028891345.1_ASM2889134v1/GCF_028891345.1_ASM2889134v1_genomic.fna.gz
GCF_001456235.1,ASM145623v1,J1a12,Citrus,"Brazil: Jales, Sao Paulo",2015-12-03,2867237,53,data\fastas\GCF_001456235.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/235/GCF_001456235.1_ASM145623v1/GCF_001456235.1_ASM145623v1_genomic.fna.gz
GCF_001456195.2,ASM145619v2,3124,Coffee,"Brazil: Matao, Sao Paulo",2020-11-13,2748592,52.5,data\fastas\GCF_001456195.2.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/195/GCF_001456195.2_ASM145619v2/GCF_001456195.2_ASM145619v2_genomic.fna.gz
GCF_001456275.1,ASM145627v1,U24d,Citrus sinensis,"Brazil: Ubarana, Sao Paulo",2015-12-03,2732490,52.5,data\fastas\GCF_001456275.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/275/GCF_001456275.1_ASM145627v1/GCF_001456275.1_ASM145627v1_genomic.fna.gz
GCF_001456295.2,ASM145629v2,Pr8x,Plum,"Brazil: Jarinu, Sao Paulo",2020-11-13,2705820,52.5,data\fastas\GCF_001456295.2.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/295/GCF_001456295.2_ASM145629v2/GCF_001456295.2_ASM145629v2_genomic.fna.gz
GCF_032594475.1,ASM3259447v1,CFBP8478,Coffea arabica,France: Plant intercepted in from Costa Rica,2023-10-12,2676633,52,data\fastas\GCF_032594475.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/594/475/GCF_032594475.1_ASM3259447v1/GCF_032594475.1_ASM3259447v1_genomic.fna.gz
GCF_032594455.1,ASM3259445v1,CO33,Coffea arabica,Italy: Plant intercepted in from Costa Rica,2023-10-12,2676561,52,data\fastas\GCF_032594455.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/594/455/GCF_032594455.1_ASM3259445v1/GCF_032594455.1_ASM3259445v1_genomic.fna.gz
GCF_002954205.1,ASM295420v1,Salento-2,Olea europaea,"Italy: Ugento, Lecce, Apulia",2018-02-27,2543566,52,data\fastas\GCF_002954205.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/954/205/GCF_002954205.1_ASM295420v1/GCF_002954205.1_ASM295420v1_genomic.fna.gz
GCF_042243345.1,ASM4224334v1,CFBP8070,Prunus sp.,USA: Georgia,2024-09-25,2867959,52,data\fastas\GCF_042243345.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/243/345/GCF_042243345.1_ASM4224334v1/GCF_042243345.1_ASM4224334v1_genomic.fna.gz
GCF_042239055.1,ASM4223905v1,XYL1752/17,Prunus dulcis,"Spain: Ciudatella, Menorca",2024-09-25,2769601,52,data\fastas\GCF_042239055.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/239/055/GCF_042239055.1_ASM4223905v1/GCF_042239055.1_ASM4223905v1_genomic.fna.gz
GCF_055765255.1,ASM5576525v1,CFBP8082,Ambrosia artemisiifolia,USA: Florida,2026-03-10,2800184,51.5,data\fastas\GCF_055765255.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/765/255/GCF_055765255.1_ASM5576525v1/GCF_055765255.1_ASM5576525v1_genomic.fna.gz
GCF_012974125.1,ASM1297412v1,RH1,Olea europaea,USA:California,2020-05-05,2678425,52,data\fastas\GCF_012974125.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/974/125/GCF_012974125.1_ASM1297412v1/GCF_012974125.1_ASM1297412v1_genomic.fna.gz
GCF_012974145.1,ASM1297414v1,LM10,Olea europaea,USA:California,2020-05-05,2669650,52,data\fastas\GCF_012974145.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/974/145/GCF_012974145.1_ASM1297414v1/GCF_012974145.1_ASM1297414v1_genomic.fna.gz
