accession_a,accession_b,minhash_jaccard_21mer
GCF_042239055.1,GCF_042238405.1,0.3179959100204499
GCF_028227635.1,GCF_055766035.1,0.24081632653061225
GCF_055959565.1,GCF_055959555.1,0.22587651256593236
GCF_042239545.1,GCF_042237735.1,0.22461246440999683
GCF_055959565.1,GCF_055959275.1,0.2188365650969529
GCF_042239055.1,GCF_042239545.1,0.21057542768273718
GCF_032594475.1,GCF_032594455.1,0.18315347721822542
GCF_055959565.1,GCF_004023395.2,0.18225276366895726
GCF_042239545.1,GCF_042237065.1,0.182095006090134
GCF_012974125.1,GCF_012974145.1,0.17569589943130798
GCF_021459925.1,GCF_055766035.1,0.17330558858501782
GCF_042239545.1,GCF_042238405.1,0.17311178247734138
GCF_042238405.1,GCF_042237065.1,0.17198419933151018
GCF_055766035.1,GCF_050157125.1,0.16848950635530593
GCF_012974125.1,GCF_042237735.1,0.16807483403741702
GCF_042239055.1,GCF_042237735.1,0.16430081546360617
GCF_028227275.1,GCF_055764455.1,0.16389054134443784
GCF_055766035.1,GCF_053901445.1,0.1601057579318449
GCF_042239055.1,GCF_015475955.1,0.15819041986989946
GCF_050157125.1,GCF_003515915.2,0.15692577440093514
GCF_055959275.1,GCF_012974105.1,0.15268505079825834
GCF_055690575.1,GCF_042243345.1,0.14848573948838578
GCF_055959555.1,GCF_012974105.1,0.14840579710144927
GCF_021459925.1,GCF_028227635.1,0.1473929507719196
GCF_028227635.1,GCF_053901445.1,0.14730713245997087
GCF_055959275.1,GCF_015475955.1,0.14579114839456175
GCF_042238405.1,GCF_042237735.1,0.14498362607919024
GCF_012974105.1,GCF_015475955.1,0.14450533602538218
GCF_014249995.1,GCF_003515915.2,0.14326895358893052
GCF_014249995.1,GCF_028891345.1,0.14298068607667916
GCF_055766035.1,GCF_003515915.2,0.14261019878997408
GCF_028227635.1,GCF_003515915.2,0.14227994227994228
GCF_053901445.1,GCF_050157125.1,0.1416159860990443
GCF_028227275.1,GCF_050157125.1,0.14033564814814814
GCF_014249995.1,GCF_050157125.1,0.14017882895875397
GCF_055959275.1,GCF_055959555.1,0.13944108326130797
GCF_029962045.1,GCF_029962065.1,0.13860252004581902
GCF_042239545.1,GCF_012974145.1,0.13855072463768117
GCF_004023395.2,GCF_012974105.1,0.13696275071633238
GCF_012974125.1,GCF_015475955.1,0.13506493506493505
GCF_028227635.1,GCF_050157125.1,0.13492520138089759
GCF_028891345.1,GCF_053901445.1,0.13392601089761974
GCF_014249995.1,GCF_053901445.1,0.13346727898966704
GCF_042239545.1,GCF_012974125.1,0.13308205276891852
GCF_055959565.1,GCF_042243345.1,0.13264129181084197
GCF_028891345.1,GCF_003515915.2,0.13262977752424415
GCF_021459925.1,GCF_053901445.1,0.13070956621660443
GCF_042239055.1,GCF_055959565.1,0.1298326601269475
GCF_042239055.1,GCF_012974125.1,0.1290977661734842
GCF_055959275.1,GCF_004023395.2,0.12752633077142045
GCF_028891345.1,GCF_055764455.1,0.12736660929432014
GCF_042239545.1,GCF_055959555.1,0.12586009174311927
GCF_028227275.1,GCF_055766035.1,0.12574850299401197
GCF_055959555.1,GCF_042243345.1,0.1253585771658061
GCF_042239545.1,GCF_055959565.1,0.12535775615340583
GCF_053901445.1,GCF_028226975.1,0.12392918332381496
GCF_029962025.1,GCF_001456295.2,0.1238311136299235
GCF_021459925.1,GCF_050157125.1,0.12378779235596121
GCF_042239055.1,GCF_004023395.2,0.1236374067699369
GCF_012974125.1,GCF_012974105.1,0.12208309618668184
GCF_004023395.2,GCF_042237735.1,0.1217967175352721
GCF_053901235.1,GCF_015475955.1,0.12143462298785654
GCF_055959275.1,GCF_012974125.1,0.12104813443463401
GCF_004023395.2,GCF_042243345.1,0.12001140250855188
GCF_042239055.1,GCF_055959275.1,0.12
GCF_014249995.1,GCF_055764455.1,0.11759681093394077
GCF_055764455.1,GCF_050157125.1,0.11719418306244654
GCF_055959275.1,GCF_042237735.1,0.1171919770773639
GCF_012974105.1,GCF_055690575.1,0.11535199321458864
GCF_012974105.1,GCF_042237065.1,0.11500142328494165
GCF_014249995.1,GCF_028227275.1,0.11493928268850608
GCF_012974145.1,GCF_042237065.1,0.11453870322764924
GCF_042238405.1,GCF_012974125.1,0.1145235361653272
GCF_055959565.1,GCF_042238405.1,0.11405759908753921
GCF_028891345.1,GCF_028226975.1,0.11355311355311355
GCF_042238405.1,GCF_012974145.1,0.11291702309666382
GCF_042239055.1,GCF_055959555.1,0.11266002844950214
GCF_042238405.1,GCF_015475955.1,0.11243951038998007
GCF_028226975.1,GCF_003515915.2,0.1119549929676512
GCF_004023395.2,GCF_012974125.1,0.11133088443063012
GCF_028227635.1,GCF_028226975.1,0.11114245416078984
GCF_042237065.1,GCF_053901235.1,0.11079625956361576
GCF_053901445.1,GCF_055764455.1,0.11066969353007945
GCF_028891345.1,GCF_050157125.1,0.11023842917251052
GCF_012974105.1,GCF_053901235.1,0.11015058561070831
GCF_042239055.1,GCF_012974105.1,0.10994912379875636
GCF_042238405.1,GCF_012974105.1,0.10991501416430595
GCF_012974105.1,GCF_042237735.1,0.10934393638170974
GCF_002954205.1,GCF_053901285.1,0.10844717033732924
GCF_028227275.1,GCF_003515915.2,0.10818385650224215
GCF_053901445.1,GCF_003515915.2,0.10753290394847381
GCF_055766035.1,GCF_028226975.1,0.1074635241301908
GCF_055959555.1,GCF_042237735.1,0.10731568460005693
GCF_042239545.1,GCF_042241145.1,0.10703191188929681
GCF_004023395.2,GCF_012974145.1,0.10697283674040885
GCF_055959555.1,GCF_042238405.1,0.10695035460992908
GCF_055959275.1,GCF_042238405.1,0.10667798528579513
GCF_011801475.1,GCF_050157125.1,0.1063532045899804
GCF_004023395.2,GCF_015475955.1,0.10589550153674211
GCF_042238405.1,GCF_042243345.1,0.10575826681870011
GCF_053901445.1,GCF_032594455.1,0.10544026920919798
GCF_021459925.1,GCF_003515915.2,0.10542505592841163
GCF_042239545.1,GCF_015475955.1,0.10539629005059022
GCF_055959555.1,GCF_012974125.1,0.10526315789473684
GCF_004016415.2,GCF_032594475.1,0.10477787091366303
GCF_050157125.1,GCF_032594455.1,0.10408505875769446
GCF_021459925.1,GCF_014249995.1,0.10405594405594405
GCF_029962045.1,GCF_001456295.2,0.10399334442595674
GCF_055959555.1,GCF_004023395.2,0.10391061452513967
GCF_002117875.1,GCF_002954205.1,0.10384934921074494
GCF_015475955.1,GCF_055690575.1,0.10378681626928471
GCF_042239545.1,GCF_055959275.1,0.10375771172181716
GCF_012974125.1,GCF_042243345.1,0.10344827586206896
GCF_021459925.1,GCF_028891345.1,0.10329424902289223
GCF_028227275.1,GCF_028891345.1,0.10326542003907341
GCF_012974145.1,GCF_053901235.1,0.10227904391328516
GCF_042239055.1,GCF_042237065.1,0.10142450142450142
GCF_012974125.1,GCF_042237065.1,0.10002833663927459
GCF_042237735.1,GCF_053901235.1,0.09988745075970737
GCF_053901235.1,GCF_055690575.1,0.09972144846796657
GCF_012974105.1,GCF_042243345.1,0.09966499162479062
GCF_055766035.1,GCF_032594475.1,0.09955506117908787
GCF_012974145.1,GCF_055690575.1,0.09899328859060402
GCF_004023395.2,GCF_042238405.1,0.09898762654668167
GCF_042239545.1,GCF_042243345.1,0.09848058525604952
GCF_055959555.1,GCF_015475955.1,0.09838799332962757
GCF_002117875.1,GCF_048564955.1,0.09834254143646409
GCF_042239545.1,GCF_012974105.1,0.09832869080779945
GCF_042238405.1,GCF_053901235.1,0.09831932773109243
GCF_042237065.1,GCF_042243345.1,0.09827244406683659
GCF_012974125.1,GCF_053901235.1,0.09824659059281937
GCF_004023395.2,GCF_055690575.1,0.09824169690203739
GCF_028227635.1,GCF_028891345.1,0.09794672586015539
GCF_001456195.2,GCF_001456295.2,0.09793103448275862
GCF_028227275.1,GCF_053901445.1,0.09788064696040157
GCF_004023395.2,GCF_053901235.1,0.09787116394802323
GCF_012974145.1,GCF_015475955.1,0.09775062482643711
GCF_055764455.1,GCF_032594455.1,0.09747899159663866
GCF_055766035.1,GCF_028891345.1,0.09742596180459452
GCF_053901285.1,GCF_001456295.2,0.09715705216671267
GCF_055959565.1,GCF_015475955.1,0.09703354588300526
GCF_028227275.1,GCF_032594475.1,0.09682804674457429
GCF_028227275.1,GCF_028226975.1,0.09671125975473802
GCF_028227635.1,GCF_055764455.1,0.09627763783935069
GCF_055959565.1,GCF_012974105.1,0.09585635359116022
GCF_055959275.1,GCF_055690575.1,0.09571508069003895
GCF_021459925.1,GCF_011801475.1,0.09517203107658158
GCF_032594475.1,GCF_003515915.2,0.09513274336283185
GCF_042239055.1,GCF_012974145.1,0.09457190822607722
GCF_055959565.1,GCF_042241145.1,0.09433962264150944
GCF_004016315.2,GCF_053901445.1,0.09390581717451524
GCF_002117875.1,GCF_053901285.1,0.09386182218552161
GCF_042237065.1,GCF_055690575.1,0.09377640101379893
GCF_050157125.1,GCF_028226975.1,0.09353316680543991
GCF_055959565.1,GCF_012974145.1,0.09352517985611511
GCF_055959565.1,GCF_053901235.1,0.09336270999724594
GCF_053901445.1,GCF_053901235.1,0.09329285122826388
GCF_028227275.1,GCF_032594455.1,0.09320388349514563
GCF_055959275.1,GCF_012974145.1,0.09311964631113567
GCF_021459925.1,GCF_028227275.1,0.09305555555555556
GCF_053901235.1,GCF_003515915.2,0.0925569898379566
GCF_021459925.1,GCF_028226975.1,0.09247431269091919
GCF_002954205.1,GCF_001456295.2,0.09232876712328768
GCF_055959555.1,GCF_042241145.1,0.09204324923759356
GCF_042237735.1,GCF_055690575.1,0.09160090191657272
GCF_032594475.1,GCF_053901235.1,0.09135938359933957
GCF_029962025.1,GCF_053901285.1,0.09133554083885209
GCF_042238405.1,GCF_042241145.1,0.09103641456582633
GCF_012974145.1,GCF_012974105.1,0.09053384700055035
GCF_042237735.1,GCF_042243345.1,0.09021708486044544
GCF_014249995.1,GCF_028226975.1,0.08882758620689656
GCF_042237735.1,GCF_015475955.1,0.08857222687901649
GCF_028227635.1,GCF_032594475.1,0.08855172413793104
GCF_012974105.1,GCF_003515915.2,0.0884446878422782
GCF_032594455.1,GCF_003515915.2,0.0873386432298819
GCF_055766035.1,GCF_053901235.1,0.08702791461412152
GCF_055959275.1,GCF_042241145.1,0.08700440528634361
GCF_014249995.1,GCF_032594455.1,0.08688479516084685
GCF_055764455.1,GCF_042237065.1,0.08639551192145863
GCF_055959275.1,GCF_042237065.1,0.08611111111111111
GCF_011801475.1,GCF_055764455.1,0.08605423353624793
GCF_004023395.2,GCF_042241145.1,0.08498349834983498
GCF_055764455.1,GCF_032594475.1,0.08469415997785773
GCF_042239055.1,GCF_042243345.1,0.08451882845188284
GCF_055959565.1,GCF_042237735.1,0.08435412026726058
GCF_014249995.1,GCF_055766035.1,0.08433734939759036
GCF_014249995.1,GCF_032594475.1,0.08417877707704963
GCF_029962025.1,GCF_002954205.1,0.08417600437277944
GCF_042241145.1,GCF_042243345.1,0.08386382507611403
GCF_055959275.1,GCF_042243345.1,0.08379272326350606
GCF_028891345.1,GCF_032594455.1,0.08378970427163199
GCF_028227275.1,GCF_053901235.1,0.08374384236453201
GCF_055766035.1,GCF_011801475.1,0.08374384236453201
GCF_053901445.1,GCF_015475955.1,0.08342480790340286
GCF_028227635.1,GCF_014249995.1,0.08303644834201152
GCF_029962065.1,GCF_048564955.1,0.08287895310796074
GCF_028891345.1,GCF_032594475.1,0.08258135083401695
GCF_029962065.1,GCF_001456295.2,0.08238172920065252
GCF_029962045.1,GCF_002954205.1,0.0823593367762979
GCF_029962065.1,GCF_053901285.1,0.08233369683751363
GCF_014249995.1,GCF_042237065.1,0.08224868457491
GCF_012974145.1,GCF_042241145.1,0.08182317408017573
GCF_004023395.2,GCF_042237065.1,0.08167220376522702
GCF_042237065.1,GCF_015475955.1,0.08167220376522702
GCF_029962025.1,GCF_002117875.1,0.08156028368794327
GCF_021459925.1,GCF_032594455.1,0.08152621465824869
GCF_015475955.1,GCF_042243345.1,0.08117776554760595
GCF_032594455.1,GCF_053901235.1,0.08097055616139585
GCF_029962045.1,GCF_048564955.1,0.08081632653061224
GCF_050157125.1,GCF_012974145.1,0.0807776560788609
GCF_032594455.1,GCF_028226975.1,0.08063631376851343
GCF_028891345.1,GCF_042238405.1,0.08061844284925455
GCF_028227635.1,GCF_032594455.1,0.08052588331963846
GCF_028227275.1,GCF_012974125.1,0.08044077134986226
GCF_042237735.1,GCF_042241145.1,0.08041179744017807
GCF_032594475.1,GCF_028226975.1,0.08031798245614036
GCF_053901445.1,GCF_042237065.1,0.08009977827050997
GCF_053901445.1,GCF_012974105.1,0.07994542974079127
GCF_055959275.1,GCF_053901235.1,0.07989130434782608
