accession,window_index,label,score,feature_kind,anomaly_type
GCF_021459925.1,0,0,0.03501234277734179,codon64,foreign_segment
GCF_021459925.1,1,0,0.057294373288373564,codon64,foreign_segment
GCF_021459925.1,2,0,0.09672957287400386,codon64,foreign_segment
GCF_021459925.1,3,0,0.037584898505533766,codon64,foreign_segment
GCF_021459925.1,4,0,0.03672624804075107,codon64,foreign_segment
GCF_021459925.1,5,0,0.0501599244515499,codon64,foreign_segment
GCF_021459925.1,6,0,0.03411701183816531,codon64,foreign_segment
GCF_021459925.1,7,0,0.020606837330317294,codon64,foreign_segment
GCF_021459925.1,8,0,0.04092447925958888,codon64,foreign_segment
GCF_021459925.1,9,0,0.0699509459014113,codon64,foreign_segment
GCF_021459925.1,10,0,0.035881972339280886,codon64,foreign_segment
GCF_021459925.1,11,0,0.0886900136132042,codon64,foreign_segment
GCF_021459925.1,12,0,0.17407109293516998,codon64,foreign_segment
GCF_021459925.1,13,0,0.06368983346025572,codon64,foreign_segment
GCF_021459925.1,14,0,0.0587841353887269,codon64,foreign_segment
GCF_021459925.1,15,1,1.21219171188002,codon64,foreign_segment
GCF_021459925.1,16,0,0.017352070093248302,codon64,foreign_segment
GCF_021459925.1,17,0,0.08017221223385379,codon64,foreign_segment
GCF_021459925.1,18,0,0.9014114517031766,codon64,foreign_segment
GCF_021459925.1,19,0,0.012807279280597453,codon64,foreign_segment
GCF_021459925.1,20,0,0.05330141084754101,codon64,foreign_segment
GCF_021459925.1,21,0,0.1636242319621247,codon64,foreign_segment
GCF_021459925.1,22,0,0.10103210164526026,codon64,foreign_segment
GCF_021459925.1,23,1,1.3700057569427817,codon64,foreign_segment
GCF_021459925.1,24,0,0.14202276841292077,codon64,foreign_segment
GCF_021459925.1,25,0,0.21878037025801586,codon64,foreign_segment
GCF_021459925.1,26,0,0.03714644418522681,codon64,foreign_segment
GCF_021459925.1,27,0,0.05551364700776719,codon64,foreign_segment
GCF_021459925.1,28,0,0.05863882128292874,codon64,foreign_segment
GCF_021459925.1,29,0,0.03227727211941791,codon64,foreign_segment
GCF_021459925.1,30,1,0.8132891491683153,codon64,foreign_segment
GCF_021459925.1,31,0,0.051075935156707226,codon64,foreign_segment
GCF_021459925.1,32,0,0.006744609792087091,codon64,foreign_segment
GCF_021459925.1,33,0,0.07854025160721387,codon64,foreign_segment
GCF_021459925.1,34,0,0.04324379189231847,codon64,foreign_segment
GCF_021459925.1,35,0,0.027898109158448207,codon64,foreign_segment
GCF_021459925.1,36,0,0.020227321844635677,codon64,foreign_segment
GCF_021459925.1,37,0,0.06047404823916461,codon64,foreign_segment
GCF_021459925.1,38,1,0.2980130444799924,codon64,foreign_segment
GCF_021459925.1,39,0,0.06226504185170556,codon64,foreign_segment
GCF_021459925.1,40,0,0.03355539937677509,codon64,foreign_segment
GCF_021459925.1,41,0,0.011217000249246142,codon64,foreign_segment
GCF_021459925.1,42,0,0.02669735075356937,codon64,foreign_segment
GCF_021459925.1,43,0,0.07232697570159306,codon64,foreign_segment
GCF_021459925.1,44,0,0.01969958798344575,codon64,foreign_segment
GCF_021459925.1,45,0,0.04019531431038401,codon64,foreign_segment
GCF_021459925.1,46,0,0.02655980434071012,codon64,foreign_segment
GCF_021459925.1,47,0,0.1983236574590757,codon64,foreign_segment
GCF_021459925.1,48,0,0.14515981900718317,codon64,foreign_segment
GCF_021459925.1,49,0,0.02209005568931189,codon64,foreign_segment
GCF_021459925.1,50,0,0.020827556467558538,codon64,foreign_segment
GCF_021459925.1,51,0,0.05581055195682132,codon64,foreign_segment
GCF_021459925.1,52,0,0.22101250585094398,codon64,foreign_segment
GCF_021459925.1,53,0,0.02237994712933746,codon64,foreign_segment
GCF_021459925.1,54,0,0.006203996464853538,codon64,foreign_segment
GCF_021459925.1,55,0,0.012249233518292778,codon64,foreign_segment
GCF_021459925.1,56,0,0.1196023454653626,codon64,foreign_segment
GCF_021459925.1,57,0,0.09803914063844787,codon64,foreign_segment
GCF_021459925.1,58,0,0.10046258026742749,codon64,foreign_segment
GCF_021459925.1,59,0,0.09049214893063409,codon64,foreign_segment
